model,sim_time,arrival_mean,service_mean,num_nurses,seed,total_arrived,total_served,average_wait,average_system_time,utilization,max_queue_length,average_wait_red,average_wait_yellow,average_wait_green
fifo,1000,5,4,1,100,197,185,13.79395150163231,18.31357440964494,0.8361302379823363,15,,,
fifo,1000,5,4,1,101,218,212,17.8612787132264,22.092094954675243,0.896933043187155,13,,,
fifo,1000,5,4,1,102,170,170,7.07383894862091,11.619691914905593,0.7727950042683961,7,,,
priority,1000,5,4,1,100,197,188,13.959973887839121,18.40614086470318,0.8358793916504426,14,4.652564340330306,6.229879756908461,19.072639999200952
priority,1000,5,4,1,101,218,213,20.256165032574412,24.466122536232035,0.8967209482790743,17,3.379909437064953,6.889206463302219,32.57232933048146
priority,1000,5,4,1,102,170,170,7.290505235773229,11.836358202057912,0.7727950042683961,7,2.104471922742184,4.439357040557919,9.366819753281947
fifo,1000,5,4,2,100,197,197,1.0601333099080714,5.449941405843428,0.43239609744963264,4,,,
fifo,1000,5,4,2,101,218,216,0.5751942400378568,4.796891897985642,0.45594334705836087,4,,,
fifo,1000,5,4,2,102,170,170,0.571705263270262,5.1175582295549455,0.38639750213419805,3,,,
priority,1000,5,4,2,100,197,197,1.19275650297816,5.582564598913517,0.4323960974496327,4,0.1869315349407851,0.9589937030229829,1.423769542639135
priority,1000,5,4,2,101,218,216,0.637717000646578,4.859414658594363,0.45594334705836087,4,0.1845794411537023,0.5438409938058253,0.7877746108024185
priority,1000,5,4,2,102,170,170,0.5179141558684303,5.063767122153114,0.38639750213419805,3,0.1781221316419013,0.11818606938729162,0.7573734011037585
fifo,1000,5,4,3,100,197,197,0.13425533744780893,4.524063433383166,0.28826406496642176,2,,,
fifo,1000,5,4,3,101,218,217,0.04094137157539089,4.244448195668955,0.3040536602761012,2,,,
fifo,1000,5,4,3,102,170,170,0.08567635268697299,4.631529318971657,0.2575983347561321,2,,,
priority,1000,5,4,3,100,197,197,0.16017316881267724,4.549981264748034,0.28826406496642176,2,0.17584563834761155,0.12036887239834526,0.17689544420789693
priority,1000,5,4,3,101,218,217,0.04159983393789688,4.245106658031461,0.3040536602761012,2,0.0,0.04296124868689968,0.04924879542153203
priority,1000,5,4,3,102,170,170,0.08567635268697299,4.631529318971657,0.2575983347561321,2,0.05811886863956163,0.01770898067741423,0.12236340744079446
